"Nom usuel de l'installation","Numéro de l'installation","Nom de la commune","Code INSEE","Code postal","Nom du lieu dit","Numero de la voie","Nom de la voie","location","Longitude","Latitude","Aucun aménagement d'accessibilité","Accessibilité handicapés à mobilité réduite","Accessibilité handicapés sensoriels","Emprise foncière en m2","Gardiennée avec ou sans logement de gardien","Multi commune","Présence d'un internet","Nombre de couvert ","Nombre de lit","Nombre total de place de parking","Nombre total de place de parking handicapés","Installation particulière","Desserte métro","Desserte bus","Desserte Tram","Desserte train","Desserte bateau","Desserte autre","Nombre total d'équipements sportifs","Nombre total de fiches équipements","Date de création de la fiche installation","Date de mise à jour de la fiche installation"
"Ecole Saint Joseph","441290019","Pontchâteau","44129","44160","","8","Rue St Colomban","[ 47.436888 , -2.088471]","-2.088471","47.436888","Non","Oui","Non","NULL","Non","Non","Non","0","0","0","0","Etablissement scolaire","Non","Non","Non","Non","Non","Non","1","1","2011-05-31 00:00:00.000","2015-05-26 00:00:00.000"
"Espace Fitness","441290020","Pontchâteau","44129","44160","","107","Route De Vannes","[ 47.436888 , -2.088471]","-2.088471","47.436888","Non","Oui","Non","NULL","Non","Non","Non","0","0","20","0"," Non","Non","Non","Non","Non","Non","Non","2","2","2012-02-13 00:00:00.000","2015-05-07 00:00:00.000"
"Espace Sportif Valdotain","441300001","Pont-Saint-Martin","44130","44860","","","Impasse René Rabouin","[ 47.123606 , -1.584813]","-1.584813","47.123606","Non","Oui","Non","NULL","Non","Non","Non","0","0","100","1"," Non","Non","Oui","Non","Non","Non","Non","8","7","2005-08-02 00:00:00.000","2015-06-22 00:00:00.000"
"Les Ecuries De La Mone","441300002","Pont-Saint-Martin","44130","44860","La Mône","","","[ 47.123606 , -1.584813]","-1.584813","47.123606","Non","Oui","Non","NULL","Non","Non","Non","0","0","20","0"," Non","Non","Non","Non","Non","Non","Non","4","4","2005-11-16 00:00:00.000","2015-06-22 00:00:00.000"
"Circuits De Randonnee","441300003","Pont-Saint-Martin","44130","44860","","","","[ 47.123606 , -1.584813]","-1.584813","47.123606","Oui","Non","Non","NULL","Non","Non","Non","0","0","100","0"," Non","Non","Oui","Non","Non","Non","Non","2","2","2005-11-16 00:00:00.000","2015-07-09 00:00:00.000"
"Acces A L'Ognon","441300004","Pont-Saint-Martin","44130","44860","","","Espace Valdotain","[ 47.123606 , -1.584813]","-1.584813","47.123606","Non","Oui","Non","NULL","Non","Non","Non","0","0","0","0","Complexe sportif","Non","Non","Non","Non","Non","Non","1","1","2005-11-28 00:00:00.000","2015-07-09 00:00:00.000"
"Quai Des Romains","441300005","Pont-Saint-Martin","44130","44860","","","","[ 47.123606 , -1.584813]","-1.584813","47.123606","Oui","Non","Non","NULL","Non","Non","Non","0","0","11","0"," Non","Non","Oui","Non","Non","Non","Non","1","1","2011-03-24 00:00:00.000","2015-06-22 00:00:00.000"
"Terrain De Jeux Du Champsionne","441300006","Pont-Saint-Martin","44130","44860","","","Rue De La Tête Des Landes","[ 47.123606 , -1.584813]","-1.584813","47.123606","Non","Oui","Non","NULL","Non","Non","Non","0","0","20","0"," Non","Non","Non","Non","Non","Non","Non","2","2","2011-03-24 00:00:00.000","2015-06-22 00:00:00.000"
"Practice De Golf La Marionnière","441300007","Pont-Saint-Martin","44130","44860","","","La Marionière","[ 47.123606 , -1.584813]","-1.584813","47.123606","Non","Oui","Non","30000","Non","Non","Non","0","20","60","3"," Non","Non","Oui","Non","Non","Non","Non","1","1","2011-09-05 00:00:00.000","2015-06-22 00:00:00.000"
"Le Circuit Des Les Landes De Viais","441300008","Pont-Saint-Martin","44130","44860","Les Landes De Viais","","","[ 47.123606 , -1.584813]","-1.584813","47.123606","Oui","Non","Non","NULL","Non","Non","Non","0","0","0","0"," Non","Non","Non","Non","Non","Non","Non","1","1","2015-05-18 00:00:00.000","2015-06-22 00:00:00.000"
"Centre Sportif Du Clion","441310001","Pornic","44131","44210","","","Avenue Des Sports Le Clion","[ 47.115537 , -2.104171]","-2.104171","47.115537","Oui","Non","Non","NULL","Non","Non","Non","0","0","34","0","Complexe sportif","Non","Non","Non","Non","Non","Non","10","4","2005-08-02 00:00:00.000","2016-09-13 00:00:00.000"
"Centre Sportif De Sainte Marie","441310002","Pornic","44131","44210","Sainte Marie","12","Rue Du Colonel Victor Bezier","[ 47.115537 , -2.104171]","-2.104171","47.115537","Non","Oui","Non","NULL","Non","Non","Non","0","0","120","0","Complexe sportif","Non","Non","Non","Non","Non","Non","5","5","2005-08-02 00:00:00.000","2016-09-13 00:00:00.000"
"Gymnase Municipal J. Girard","441310003","Pornic","44131","44210","","","Place J. Girard","[ 47.115537 , -2.104171]","-2.104171","47.115537","Oui","Non","Non","NULL","Non","Non","Non","0","0","20","0"," Non","Non","Oui","Non","Oui","Non","Non","3","3","2005-08-02 00:00:00.000","2017-02-02 00:00:00.000"
"Site De Monval","441310004","Pornic","44131","44210","Le Clion Sur Mer","","Rue René Guy Cadou","[ 47.115537 , -2.104171]","-2.104171","47.115537","Non","Oui","Non","NULL","Non","Non","Non","60","60","10","0"," Non","Non","Oui","Non","Non","Non","Non","1","1","2005-12-08 00:00:00.000","2016-09-13 00:00:00.000"
"Centre Sportif Du Val Saint Martin","441310005","Pornic","44131","44210","","","Val Saint Martin","[ 47.115537 , -2.104171]","-2.104171","47.115537","Non","Oui","Non","NULL","Sans logement de gardien","Non","Non","0","0","200","6","Complexe sportif","Non","Non","Non","Non","Non","Non","18","16","2005-08-02 00:00:00.000","2016-10-07 00:00:00.000"
"Golf De Pornic","441310006","Pornic","44131","44210","","","Avenue Scalby Newby","[ 47.115537 , -2.104171]","-2.104171","47.115537","Non","Oui","Non","NULL","Non","Non","Non","150","0","98","7"," Non","Non","Oui","Non","Non","Non","Non","6","5","2005-10-05 00:00:00.000","2016-11-28 00:00:00.000"
"Stand De Tir A L'Arc Municipal","441310007","Pornic","44131","44210","","30","Rue Des Buissonnets","[ 47.115537 , -2.104171]","-2.104171","47.115537","Non","Oui","Non","NULL","Non","Non","Non","0","0","10","0"," Non","Non","Non","Non","Non","Non","Non","1","1","2005-10-05 00:00:00.000","2016-09-15 00:00:00.000"
"Art Ligne Fitness","441310008","Pornic","44131","44210","","11","Rue Jean Monnet","[ 47.115537 , -2.104171]","-2.104171","47.115537","Non","Oui","Non","NULL","Non","Non","Non","0","0","12","0"," Non","Non","Oui","Non","Non","Non","Non","4","4","2005-10-27 00:00:00.000","2016-11-28 00:00:00.000"
"Centre Équestre Et Poney Club De Pornic","441310009","Pornic","44131","44210","Huchepie","","","[ 47.115537 , -2.104171]","-2.104171","47.115537","Non","Oui","Non","NULL","Avec logement de gardien","Non","Non","0","0","50","0"," Non","Non","Non","Non","Non","Non","Non","3","3","2005-10-27 00:00:00.000","2016-11-25 00:00:00.000"
"Pornic Aventure","441310011","Pornic","44131","44210","Zone De Loisirs Du Val Saint Martin","","","[ 47.115537 , -2.104171]","-2.104171","47.115537","Oui","Non","Non","70000","Non","Non","Non","0","0","50","0"," Non","Non","Oui","Non","Non","Non","Non","1","1","2005-10-27 00:00:00.000","2016-11-25 00:00:00.000"
"Aquacentre Du Val Saint Martin","441310012","Pornic","44131","44210","Val Saint Martin","","","[ 47.115537 , -2.104171]","-2.104171","47.115537","Non","Oui","Non","NULL","Non","Non","Non","0","0","200","6","Piscine","Non","Oui","Non","Non","Non","Non","2","2","2005-11-24 00:00:00.000","2016-11-25 00:00:00.000"
"Circuits De Randonnees","441310013","Pornic","44131","44210","","","","[ 47.115537 , -2.104171]","-2.104171","47.115537","Oui","Non","Non","NULL","Non","Non","Non","0","0","0","0"," Non","Non","Oui","Non","Oui","Non","Non","4","4","2005-11-28 00:00:00.000","2016-09-14 00:00:00.000"
"Port De La Noeveillard","441310014","Pornic","44131","44210","La Noeveillard","","","[ 47.115537 , -2.104171]","-2.104171","47.115537","Non","Oui","Non","NULL","Non","Non","Non","500","0","100","2"," Non","Non","Oui","Non","Oui","Non","Non","2","2","2005-12-08 00:00:00.000","2016-09-15 00:00:00.000"
"Port De Gourmalon","441310015","Pornic","44131","44210","","6","Rue De L'Océan","[ 47.115537 , -2.104171]","-2.104171","47.115537","Oui","Non","Non","NULL","Non","Non","Non","0","0","20","0"," Non","Non","Oui","Non","Oui","Non","Non","1","1","2005-12-08 00:00:00.000","2016-09-13 00:00:00.000"
"Plage De La Joseliere","441310016","Pornic","44131","44210","La Joselière","","","[ 47.115537 , -2.104171]","-2.104171","47.115537","Non","Oui","Non","NULL","Non","Non","Non","0","0","20","0"," Non","Non","Oui","Non","Non","Non","Non","1","1","2005-12-08 00:00:00.000","2016-09-15 00:00:00.000"
"Plage De La Noeveillard","441310017","Pornic","44131","44210","La Noeveillard","","","[ 47.115537 , -2.104171]","-2.104171","47.115537","Non","Oui","Non","NULL","Non","Non","Non","0","0","2","2"," Non","Non","Oui","Non","Oui","Non","Non","1","1","2005-12-08 00:00:00.000","2016-09-15 00:00:00.000"
"Plage Du Porteau","441310018","Pornic","44131","44210","Le Porteau","","","[ 47.115537 , -2.104171]","-2.104171","47.115537","Non","Oui","Non","NULL","Non","Non","Non","10","0","50","2"," Non","Non","Oui","Non","Non","Non","Non","1","1","2005-12-08 00:00:00.000","2016-09-15 00:00:00.000"
"Plage De Portmain","441310019","Pornic","44131","44210","Portmain","","Route De La Plage De Portmain","[ 47.115537 , -2.104171]","-2.104171","47.115537","Non","Oui","Non","NULL","Non","Non","Non","100","0","60","2"," Non","Non","Non","Non","Non","Non","Non","2","2","2005-12-08 00:00:00.000","2016-09-15 00:00:00.000"
"Alliance Thalasso De Pornic","441310020","Pornic","44131","44210","","","Plage De La Source","[ 47.115537 , -2.104171]","-2.104171","47.115537","Non","Oui","Non","NULL","Avec logement de gardien","Non","Non","200","200","110","4"," Non","Non","Oui","Non","Oui","Non","Non","5","5","2005-12-08 00:00:00.000","2016-11-03 00:00:00.000"
"Etang Du Gros Caillou","441310029","Pornic","44131","44210","Le Gros Caillou","","","[ 47.115537 , -2.104171]","-2.104171","47.115537","Oui","Non","Non","450000","Non","Non","Oui","0","0","0","0"," Non","Non","Non","Non","Non","Non","Non","1","1","2006-01-17 00:00:00.000","2016-09-14 00:00:00.000"
"Plage De L'Etang","441310032","Pornic","44131","44210","Plage De L'Étang","","","[ 47.115537 , -2.104171]","-2.104171","47.115537","Oui","Non","Non","NULL","-","Non","Non","0","0","0","0"," Non","Non","Non","Non","Non","Non","Non","1","1","2006-09-01 00:00:00.000","2016-09-15 00:00:00.000"
"Plage De La Birochere","441310035","Pornic","44131","44210","","","Rue De La Plage De La Birochère","[ 47.115537 , -2.104171]","-2.104171","47.115537","Oui","Non","Non","NULL","Non","Non","Non","0","0","0","0"," Non","Non","Oui","Non","Non","Non","Non","1","1","2008-05-26 00:00:00.000","2016-09-15 00:00:00.000"
"Jardin Public","441310036","Pornic","44131","44210","","","Rue Des Peupliers","[ 47.115537 , -2.104171]","-2.104171","47.115537","Oui","Non","Non","NULL","Non","Non","Non","0","0","0","0"," Non","Non","Oui","Non","Non","Non","Non","1","1","2008-08-21 00:00:00.000","2016-09-15 00:00:00.000"
"Haras Du Gevaudan","441310037","Pornic","44131","44210","Les Hunières","","","[ 47.115537 , -2.104171]","-2.104171","47.115537","Oui","Non","Non","NULL","Avec logement de gardien","Non","Non","0","0","10","0"," Non","Non","Non","Non","Non","Non","Non","3","3","2008-09-18 00:00:00.000","2016-12-29 00:00:00.000"
"College Notre Dame De Recouvrance","441310038","Pornic","44131","44210","","","Rue Tourte","[ 47.115537 , -2.104171]","-2.104171","47.115537","Non","Oui","Non","NULL","Avec logement de gardien","Non","Non","315","0","10","2","Etablissement scolaire","Non","Oui","Non","Non","Non","Non","4","4","2008-09-18 00:00:00.000","2016-11-30 00:00:00.000"
"Site De Predaire","441310039","Pornic","44131","44210","","","Rue Des Noels","[ 47.115537 , -2.104171]","-2.104171","47.115537","Oui","Non","Non","NULL","Non","Non","Non","0","0","0","0"," Non","Non","Non","Non","Non","Non","Non","1","1","2008-11-26 00:00:00.000","2016-09-15 00:00:00.000"
"Centre Equestre De La Colinerie","441310040","Pornic","44131","44210","La Colinerie","","","[ 47.115537 , -2.104171]","-2.104171","47.115537","Oui","Non","Non","170000","Non","Non","Non","0","0","6","0"," Non","Non","Non","Non","Non","Non","Non","2","2","2012-06-20 00:00:00.000","2016-11-25 00:00:00.000"
"Maison Des Associations","441310041","Pornic","44131","44210","","4","Rue De Lorraine","[ 47.115537 , -2.104171]","-2.104171","47.115537","Non","Oui","Non","1400","Sans logement de gardien","Non","Non","0","0","0","0"," Non","Non","Oui","Non","Non","Non","Non","3","3","2009-10-29 00:00:00.000","2016-09-14 00:00:00.000"
"L'Orange Bleue","441310042","Pornic","44131","44210","","7","Rue Du Traité De Lisbonne","[ 47.115537 , -2.104171]","-2.104171","47.115537","Non","Oui","Non","500","Sans logement de gardien","Non","Non","0","0","34","1"," Non","Non","Non","Non","Non","Non","Non","2","2","2015-03-23 00:00:00.000","2016-11-28 00:00:00.000"
"Salle Polyvalente Du Clion","441310043","Pornic","44131","44210","","6","Rue Andre Louerat","[ 47.115537 , -2.104171]","-2.104171","47.115537","Non","Oui","Non","1300","Non","Non","Non","0","0","0","0"," Non","Non","Non","Non","Non","Non","Non","1","1","2016-10-14 00:00:00.000","2016-10-18 00:00:00.000"
"Stade Prieux","441320001","Pornichet","44132","44380","","","Avenue Flaubert","[ 47.265679 , -2.340358]","-2.340358","47.265679","Non","Oui","Non","NULL","Avec logement de gardien","Non","Non","0","0","37","3","Complexe sportif","Non","Oui","Non","Non","Non","Non","5","5","2005-10-05 00:00:00.000","2015-09-16 00:00:00.000"
"Stade Louis Mahe","441320002","Pornichet","44132","44380","","","Avenue Jeanne Lequerré","[ 47.265679 , -2.340358]","-2.340358","47.265679","Non","Oui","Non","NULL","Non","Non","Non","0","0","0","0"," Non","Non","Oui","Non","Non","Non","Non","3","3","2005-10-05 00:00:00.000","2015-05-12 00:00:00.000"
"Complexe Aubry Prieux","441320004","Pornichet","44132","44380","","","Avenue De Prieux","[ 47.265679 , -2.340358]","-2.340358","47.265679","Non","Oui","Non","NULL","Avec logement de gardien","Non","Non","0","0","60","2","Complexe sportif","Non","Oui","Non","Non","Non","Non","5","5","2005-10-05 00:00:00.000","2015-05-12 00:00:00.000"
"Terrain De Proximite Du Moulin D'Argent","441320005","Pornichet","44132","44380","","","Avenue De La Virée Loya","[ 47.265679 , -2.340358]","-2.340358","47.265679","Oui","Non","Non","NULL","Non","Non","Non","0","0","0","0"," Non","Non","Oui","Non","Non","Non","Non","1","1","2005-10-05 00:00:00.000","2015-05-12 00:00:00.000"
"Ecole Gambetta","441320008","Pornichet","44132","44380","","","Avenue De La République","[ 47.265679 , -2.340358]","-2.340358","47.265679","Non","Oui","Non","NULL","Non","Non","Non","0","0","0","0","Etablissement scolaire","Non","Oui","Non","Non","Non","Non","1","1","2005-10-05 00:00:00.000","2015-05-12 00:00:00.000"
"Ecole Jean Mace","441320009","Pornichet","44132","44380","","","Avenue Du Gris","[ 47.265679 , -2.340358]","-2.340358","47.265679","Non","Oui","Non","NULL","Non","Non","Non","0","0","0","0","Etablissement scolaire","Non","Oui","Non","Non","Non","Non","3","3","2005-10-05 00:00:00.000","2015-05-12 00:00:00.000"
"Ninon Tennis Club","441320010","Pornichet","44132","44380","","11","Avenue De Saint Sébastien","[ 47.265679 , -2.340358]","-2.340358","47.265679","Non","Oui","Non","18000","Non","Non","Non","0","0","19","0"," Non","Non","Oui","Non","Non","Non","Non","18","6","2005-10-05 00:00:00.000","2015-09-16 00:00:00.000"
"Boulodrome Du Bois Joli","441320011","Pornichet","44132","44380","","","Square Du Bois Joli - Avenue Péroche","[ 47.265679 , -2.340358]","-2.340358","47.265679","Non","Oui","Non","NULL","Non","Non","Non","0","0","0","0"," Non","Non","Oui","Non","Non","Non","Non","1","1","2005-10-05 00:00:00.000","2015-05-12 00:00:00.000"
"Thalasso.Com","441320012","Pornichet","44132","44380","","66","Boulevard Des Océanides","[ 47.265679 , -2.340358]","-2.340358","47.265679","Non","Oui","Non","NULL","Sans logement de gardien","Non","Non","0","0","0","0"," Non","Non","Oui","Non","Oui","Non","Non","2","2","2005-10-14 00:00:00.000","2015-05-07 00:00:00.000"
"Hippodrome De La Cote D'Amour","441320020","Pornichet","44132","44380","","","Bd De St Nazaire","[ 47.265679 , -2.340358]","-2.340358","47.265679","Non","Oui","Non","280000","Avec logement de gardien","Non","Non","500","0","150","3"," Non","Non","Oui","Non","Oui","Non","Non","2","2","2005-11-22 00:00:00.000","2015-05-07 00:00:00.000"
"Port De Pornichet","441320021","Pornichet","44132","44380","","","","[ 47.265679 , -2.340358]","-2.340358","47.265679","Oui","Non","Non","NULL","Sans logement de gardien","Non","Non","0","0","350","0"," Non","Non","Oui","Non","Non","Non","Non","2","2","2005-11-22 00:00:00.000","2015-05-12 00:00:00.000"
"Circuits De Randonnee","441320022","Pornichet","44132","44380","","","","[ 47.265679 , -2.340358]","-2.340358","47.265679","Oui","Non","Non","NULL","Non","Non","Non","0","0","0","0"," Non","Non","Oui","Non","Non","Non","Non","3","3","2005-11-29 00:00:00.000","2015-05-12 00:00:00.000"
"Plage Des Libraires","441320023","Pornichet","44132","44380","","","Boulevard Des Océanides","[ 47.265679 , -2.340358]","-2.340358","47.265679","Non","Oui","Non","NULL","Non","Non","Non","0","0","0","0"," Non","Non","Oui","Non","Oui","Non","Non","3","2","2005-12-26 00:00:00.000","2015-05-12 00:00:00.000"
"Plage De Bonne Source","441320024","Pornichet","44132","44380","Bonne Source","","","[ 47.265679 , -2.340358]","-2.340358","47.265679","Non","Oui","Non","NULL","Non","Non","Non","0","0","0","0"," Non","Non","Oui","Non","Non","Non","Non","3","2","2005-12-26 00:00:00.000","2015-05-12 00:00:00.000"
"Plage De Sainte Marguerite","441320025","Pornichet","44132","44380","","","","[ 47.265679 , -2.340358]","-2.340358","47.265679","Non","Oui","Non","NULL","Non","Non","Non","0","0","0","0"," Non","Non","Oui","Non","Non","Non","Non","2","2","2005-12-26 00:00:00.000","2015-05-12 00:00:00.000"
"Practice De Pornichet","441320027","Pornichet","44132","44380","Route De La Cote D'Amour","","Chemin Du Haut Bignon Joli","[ 47.265679 , -2.340358]","-2.340358","47.265679","Non","Oui","Non","30000","Non","Non","Non","0","0","20","2"," Non","Non","Non","Non","Non","Non","Non","1","1","2007-09-21 00:00:00.000","2015-05-07 00:00:00.000"
"Le Loft 5","441320028","Pornichet","44132","44380","Zac Pornichet Atlantique","9","Avenue Du Gulf Stream","[ 47.265679 , -2.340358]","-2.340358","47.265679","Non","Oui","Non","NULL","Non","Non","Non","0","0","3","0"," Non","Non","Non","Non","Non","Non","Non","1","1","2008-02-18 00:00:00.000","2015-05-07 00:00:00.000"
"Centre Jacques Prevert ( Point Jeunes )","441320030","Pornichet","44132","44380","","","Avenue Des Écoles","[ 47.265679 , -2.340358]","-2.340358","47.265679","Oui","Non","Non","NULL","Non","Non","Non","0","0","60","0"," Non","Non","Oui","Non","Non","Non","Non","1","1","2010-09-15 00:00:00.000","2015-05-12 00:00:00.000"
"Multisports Du Pouligou","441320031","Pornichet","44132","44380","","","Avenue Du Petit Canon","[ 47.265679 , -2.340358]","-2.340358","47.265679","Non","Oui","Non","NULL","Non","Non","Non","0","0","0","0"," Non","Non","Oui","Non","Non","Non","Non","1","1","2010-09-15 00:00:00.000","2015-05-12 00:00:00.000"
"Ecole Maternelle Les Ramiers","441320032","Pornichet","44132","44380","","2","Avenue Victor Hugo","[ 47.265679 , -2.340358]","-2.340358","47.265679","Non","Oui","Non","NULL","Non","Non","Non","0","0","0","0","Etablissement scolaire","Non","Oui","Non","Non","Non","Non","1","1","2011-06-27 00:00:00.000","2015-05-12 00:00:00.000"
"Groupe Scolaire Du Pouligou","441320033","Pornichet","44132","44380","","4","Avenue Du Petit Canon","[ 47.265679 , -2.340358]","-2.340358","47.265679","Non","Oui","Non","NULL","Non","Non","Non","0","0","0","0","Etablissement scolaire","Non","Oui","Non","Non","Non","Non","1","1","2011-06-27 00:00:00.000","2015-05-12 00:00:00.000"
"Terrain Multisports Du Parc Paysager","441320034","Pornichet","44132","44380","","","Chemin Du Rochot","[ 47.265679 , -2.340358]","-2.340358","47.265679","Non","Non","Non","450","Non","Non","Non","0","0","0","0"," Non","Non","Non","Non","Non","Non","Non","1","1","2013-10-22 00:00:00.000","2015-10-01 00:00:00.000"
"Salle De La Colombe","441330002","Port-Saint-Père","44133","44710","","27","Rue De Pornic","[ 47.1323 , -1.74912]","-1.74912","47.1323","Non","Oui","Non","0","Non","Non","Non","0","0","45","2"," Non","Non","Oui","Non","Non","Non","Non","1","1","2005-08-02 00:00:00.000","2015-06-19 00:00:00.000"
"Complexe Sportif","441330003","Port-Saint-Père","44133","44710","","","Avenue Des Sports","[ 47.1323 , -1.74912]","-1.74912","47.1323","Non","Oui","Non","1345","Non","Non","Non","0","0","70","0","Complexe sportif","Non","Oui","Non","Non","Non","Non","6","5","2005-08-02 00:00:00.000","2015-06-19 00:00:00.000"
"Circuits De Randonnee","441330004","Port-Saint-Père","44133","44710","","","","[ 47.1323 , -1.74912]","-1.74912","47.1323","Oui","Non","Non","NULL","Non","Non","Non","0","0","0","0"," Non","Non","Oui","Non","Non","Non","Non","3","3","2005-11-16 00:00:00.000","2015-10-29 00:00:00.000"
"Port De La Moriniere","441330005","Port-Saint-Père","44133","44710","La Morinière","","","[ 47.1323 , -1.74912]","-1.74912","47.1323","Oui","Non","Non","NULL","Non","Non","Non","0","0","8","0"," Non","Non","Oui","Non","Non","Non","Non","1","1","2005-11-23 00:00:00.000","2015-10-30 00:00:00.000"
"Ecuries De L'Horizon","441330006","Port-Saint-Père","44133","44710","Le Tanlay","","Route Du Pellerin","[ 47.1323 , -1.74912]","-1.74912","47.1323","Non","Oui","Non","60000","Non","Non","Non","0","0","10","0"," Non","Non","Non","Non","Non","Non","Non","5","5","2006-10-16 00:00:00.000","2015-10-30 00:00:00.000"
"Acces A L'Acheneau","441330008","Port-Saint-Père","44133","44710","","","D 751","[ 47.1323 , -1.74912]","-1.74912","47.1323","Oui","Non","Non","NULL","Non","Non","Non","0","0","0","0"," Non","Non","Non","Non","Non","Non","Non","1","1","2007-10-26 00:00:00.000","2015-10-29 00:00:00.000"
"Salle Des Associations","441330009","Port-Saint-Père","44133","44710","","","Rue De Pornic","[ 47.1323 , -1.74912]","-1.74912","47.1323","Non","Oui","Non","NULL","Non","Non","Non","0","0","9","2"," Non","Non","Oui","Non","Non","Non","Non","1","1","2011-04-13 00:00:00.000","2015-10-30 00:00:00.000"
"Ferme Des Planchettes","441330010","Port-Saint-Père","44133","44710","Les Planchettes","","D64","[ 47.1323 , -1.74912]","-1.74912","47.1323","Non","Oui","Non","NULL","Avec logement de gardien","Non","Non","0","0","20","0"," Non","Non","Non","Non","Non","Non","Non","2","2","2011-09-27 00:00:00.000","2015-05-07 00:00:00.000"
"Stade Municipal","441340001","Pouillé-les-Côteaux","44134","44522","","","Rue Du Stade","[ 47.455057 , -1.163117]","-1.163117","47.455057","Non","Oui","Non","10000","Non","Non","Non","0","0","0","0"," Non","Non","Non","Non","Non","Non","Non","2","2","2005-08-02 00:00:00.000","2014-05-13 00:00:00.000"
"Circuit Sports Mecaniques","441340002","Pouillé-les-Côteaux","44134","44522","Le Gibernouille","","","[ 47.455057 , -1.163117]","-1.163117","47.455057","Oui","Non","Non","NULL","Non","Non","Non","0","0","0","0"," Non","Non","Non","Non","Non","Non","Non","1","1","2005-09-22 00:00:00.000","2013-08-23 00:00:00.000"
"Salle Polyvalente","441340003","Pouillé-les-Côteaux","44134","44522","","","Route De La Roche Blanche","[ 47.455057 , -1.163117]","-1.163117","47.455057","Oui","Non","Non","2400","Non","Non","Non","0","0","0","0"," Non","Non","Non","Non","Non","Non","Non","1","1","2005-11-14 00:00:00.000","2014-05-13 00:00:00.000"
"La Coulee Des Deux Ponts","441340004","Pouillé-les-Côteaux","44134","44522","","","Route De La Roche Blanche","[ 47.455057 , -1.163117]","-1.163117","47.455057","Oui","Non","Non","30000","Non","Non","Non","0","0","0","0"," Non","Non","Non","Non","Non","Non","Non","1","1","2005-12-12 00:00:00.000","2014-05-13 00:00:00.000"
"Circuit De Super-Cross","441340005","Pouillé-les-Côteaux","44134","44522","Les Basses Landes","","Route De L'Éraudière","[ 47.455057 , -1.163117]","-1.163117","47.455057","Non","Oui","Oui","10000","Non","Non","Non","0","0","10","0"," Non","Non","Non","Non","Non","Non","Non","1","1","2015-07-20 00:00:00.000","NULL"
"Complexe Omnisports De L'Atlantique","441350002","Pouliguen","44135","44510","","24","Boulevard Pierre De Coubertin","[ 47.276372 , -2.431336]","-2.431336","47.276372","Non","Oui","Non","NULL","Sans logement de gardien","Non","Non","0","0","50","2"," Non","Non","Oui","Non","Oui","Non","Non","3","3","2005-10-10 00:00:00.000","2015-10-29 00:00:00.000"
"Stade De Cramphore","441350003","Pouliguen","44135","44510","","","Rue Théodore Botrel","[ 47.276372 , -2.431336]","-2.431336","47.276372","Oui","Non","Non","NULL","Non","Non","Non","0","0","0","0","Complexe sportif","Non","Oui","Non","Oui","Non","Non","7","5","2005-10-11 00:00:00.000","2015-10-30 00:00:00.000"
"Stade Felix Monville","441350004","Pouliguen","44135","44510","","","Boulevard De L'Atlantique","[ 47.276372 , -2.431336]","-2.431336","47.276372","Non","Oui","Non","NULL","Non","Non","Non","0","0","50","2"," Non","Non","Oui","Non","Oui","Non","Non","2","2","2005-10-11 00:00:00.000","2015-10-30 00:00:00.000"
"Skate Park","441350005","Pouliguen","44135","44510","","","Boulevard De L'Atlantique","[ 47.276372 , -2.431336]","-2.431336","47.276372","Non","Oui","Non","NULL","Non","Non","Non","0","0","50","2"," Non","Non","Oui","Non","Oui","Non","Non","1","1","2005-10-11 00:00:00.000","2015-10-30 00:00:00.000"
"Club De Tennis","441350006","Pouliguen","44135","44510","","1","Avenue Du Maréchal Franchet D'Esperey","[ 47.276372 , -2.431336]","-2.431336","47.276372","Oui","Non","Non","NULL","Non","Non","Non","0","0","0","0"," Non","Non","Oui","Non","Non","Non","Non","7","2","2005-10-11 00:00:00.000","2015-10-30 00:00:00.000"
"Le Bois","441350007","Pouliguen","44135","44510","Le Bois","","","[ 47.276372 , -2.431336]","-2.431336","47.276372","Non","Oui","Non","NULL","Non","Non","Non","0","0","30","2"," Non","Non","Oui","Non","Oui","Non","Non","7","5","2005-10-11 00:00:00.000","2015-10-16 00:00:00.000"
"Sentier De La Cote Sauvage","441350008","Pouliguen","44135","44510","","","","[ 47.276372 , -2.431336]","-2.431336","47.276372","Non","Oui","Non","NULL","Non","Oui","Non","0","0","0","0"," Non","Non","Non","Non","Non","Non","Non","1","1","2005-10-24 00:00:00.000","2015-10-27 00:00:00.000"
"Penchateau","441350009","Pouliguen","44135","44510","","77","Rue François Bourgoin","[ 47.276372 , -2.431336]","-2.431336","47.276372","Non","Oui","Non","NULL","Avec logement de gardien","Oui","Non","0","10","20","2"," Non","Non","Oui","Non","Oui","Non","Non","2","2","2005-11-09 00:00:00.000","2015-10-16 00:00:00.000"
"Plage Du Nau","441350011","Pouliguen","44135","44510","Plage Du Nau","","","[ 47.276372 , -2.431336]","-2.431336","47.276372","Non","Oui","Non","NULL","Non","Non","Non","0","0","0","0"," Non","Non","Oui","Non","Oui","Non","Non","1","1","2005-12-21 00:00:00.000","2015-10-16 00:00:00.000"
"O Club","441350013","Pouliguen","44135","44510","","2","Place Delaroche Vernet","[ 47.276372 , -2.431336]","-2.431336","47.276372","Non","Oui","Non","NULL","Non","Non","Non","0","0","0","0"," Non","Non","Oui","Non","Non","Non","Non","1","1","2008-10-16 00:00:00.000","2015-05-07 00:00:00.000"
